specialgirlsasiana,0,UNA,74,10507,3.9,10,1
desheik,677,Comedy,240,55377,3.51,275,202
desheik,0,UNA,212,266625,2.45,352,182
desheik,685,Comedy,228,40415,2.3,168,90
desheik,0,UNA,176,269655,1.75,358,65
desheik,0,UNA,92,77172,3.0,113,85
desheik,0,UNA,332,71141,3.63,123,73
desheik,0,UNA,257,255877,2.54,311,199
desheik,0,UNA,202,208684,1.41,591,184
desheik,732,Comedy,265,31283,3.77,52,50
desheik,0,UNA,241,37487,3.44,54,23
desheik,704,Comedy,377,15086,3.65,34,29
desheik,680,Comedy,174,77948,3.01,151,90
desheik,639,News & Politics,81,11924,4.0,17,10
desheik,717,Comedy,90,29178,3.18,150,177
desheik,0,UNA,223,287411,1.31,997,226
Doubledee90,670,Comedy,186,1314,2.92,12,13
w0rldpeace,720,Comedy,163,275,4.2,5,2
Nanorider,682,Comedy,12,10206,2.54,13,3
MadHog,573,Gadgets & Games,300,1186,3.0,4,7
preludeofshadow,502,Gadgets & Games,204,1039,3.0,2,4
DoanDavid,743,Entertainment,198,322,4.0,2,2
vendeloare,625,Music,83,465,0.0,0,0
arcate,500,Gadgets & Games,247,1966,2.88,8,4
ShiraZtheGreatOne,692,Gadgets & Games,199,356,2.0,2,3
semjonek,690,Gadgets & Games,115,565,3.0,2,1
halsed,647,Gadgets & Games,175,704,4.5,2,0
DP200X,730,Gadgets & Games,86,1663,3.25,4,1
mikojones,474,Gadgets & Games,190,1382,3.75,4,0
sewicyde,628,Gadgets & Games,429,306,0.0,0,1
croku,688,Gadgets & Games,402,266,5.0,4,0
ERaddict,734,People & Blogs,328,674,4.91,11,5
zivtong,671,Entertainment,600,32315,4.93,14,1
edison7027,623,People & Blogs,43,51746,4.79,24,0
antowong,747,Music,113,475,0.0,0,0
cgle,635,People & Blogs,15,10262,4.67,3,1
cgle,635,People & Blogs,15,8327,5.0,1,0
vxkecb,717,Entertainment,12,5211,3.67,3,0
vxkecb,717,Entertainment,24,11026,4.15,13,1
theearthman,724,People & Blogs,14,2996,5.0,4,1
aaliyahmustlove,521,Film & Animation,583,13988,1.5,8,1
miccheck,557,Entertainment,274,25822,4.29,14,2
aaliyahmustlove,521,Film & Animation,291,6309,2.0,4,0
sapporokatu,525,People & Blogs,115,29549,4.55,22,5
vxkecb,717,Entertainment,130,7853,4.75,4,0
primabera,725,Music,103,3214,5.0,1,0
